Company,TypeName,Inches,screen_resolution,has_ips_panel,is_touchscreen,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,gpu_brand,gpu_name,OpSys,Weight,Price,total_pixels
Dell,2 in 1 Convertible,13.3,Full HD,0,1,1080,1920,Intel,Core i5,1.6,20,SSD,256,Intel, UHD Graphics 620,windows,1.6,43636,2073600
HP,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,-256,Intel, HD Graphics 620,windows,,35112,2073600
Dell,Notebook,15.6,,0,0,768,1366,Intel,Core i3,2,10,HDD,1024,Intel, HD Graphics 520,windows,2.3,22305,1049088
Apple,Ultrabook,13.3,,0,0,900,1440,Intel,Core i5,1.6,8,,128,Intel, HD Graphics 6000,macos,1.4,58555,1296000
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,AMD, Radeon 530,windows,2.2,42624,2073600
,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.9,8,,256,Intel, UHD Graphics 620,,1.9,69157,2073600
HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,,1024,Nvidia, GeForce 930MX,windows,2.5,47739,2073600
Chuwi,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Atom x5-Z8300,1.4,4,,64,Intel, HD Graphics,windows,1.9,13053,2073600
Asus,Notebook,14,,0,0,768,1366,AMD,E-Series E2-6110,1.5,2,,32,AMD, Radeon R2,windows,,10603,1049088
HP,Notebook,17.3,Full HD,0,0,1080,1920,AMD,A6-Series 9220,2.5,10,,500,AMD, Radeon 530,windows,2.7,23390,2073600
dell,Ultrabook,13.3,Quad HD +,0,1,1800,3200,Intel,Core i7,1.8,16,SSD,512,Intel, UHD Graphics 620,windows,1.2,99580,5760000
apple,Ultrabook,13.3,,0,0,900,1440,Intel,Core i5,1.6,8,,256,Intel, HD Graphics 6000,macos,1.4,53173,1296000
lenovo,Notebook,14,,0,0,768,1366,Intel,Celeron Dual,1.1,4,,64,Intel, HD Graphics 500,windows,1.4,13267,1049088
acer,Notebook,15.6,,0,0,768,1366,Intel,Core i3,2.7,4,,-1024,Intel, HD Graphics 620,linux,2.1,19554,1049088
Dell,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,Hybrid,128,AMD, Radeon 530,windows,2.8,52161,2073600
HP,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,4,HDD,1024,Intel, HD Graphics 620,windows,1.9,26037,1049088
HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,Nvidia, GeForce 930MX ,windows,2.1,46833,2073600
asus,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,,1024,Intel, HD Graphics 620,linux,2,20726,2073600
Dell,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,,256,Nvidia, GeForce GTX 1060,windows,2.7,79867,2073600
asus,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,8,,1024,Nvidia, GeForce 940MX,linux,2.3,27865,1049088
Acer,Notebook,15.6,Full HD,1,0,1080,1920,Intel,Core i5,1.6,4,,256,Intel, UHD Graphics 620,windows,2.2,36337,2073600
Dell,2 in 1 Convertible,17.3,Full HD,0,1,1080,1920,Intel,Core i5,1.6,12,HDD,1024,Nvidia, GeForce 150MX,windows,2.8,53227,2073600
Apple,Ultrabook,13.3,,1,0,1600,2560,Intel,Core i5,2,8,,256,Intel, Iris Graphics 540,macos,1.4,75604,4096000
asus,Gaming,17.3,Full HD,0,0,1080,1920,AMD,Ryzen 1700,3,8,,256,AMD, Radeon RX 580,windows,3.2,69211,2073600
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,4,SSD,256,AMD, Radeon R5 M430,windows,2.3,34046,2073600
Asus,Notebook,17.3,,0,0,,1366,Intel,Pentium Quad,1.1,,,1024,Nvidia, GeForce 920MX,windows,2.8,24828,1049088
,Notebook,15.6,Full HD,1,0,,1920,Intel,Core i7,1.8,8,SSD,256,Nvidia, GeForce MX150,,2.2,44808,2073600
HP,Notebook,15.6,Full HD,0,0,,1920,AMD,A6-Series 9220,2.5,4,,256,AMD, Radeon R4 Graphics,windows,1.9,21232,2073600
HP,Notebook,13.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,SSD,-512,Intel, UHD Graphics 620,windows,1.5,58768,2073600
Acer,Notebook,15.6,,0,0,,1366,Intel,Core i3,2.4,4,,1024,Intel, HD Graphics 620,windows,2.4,20460,1049088
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,,256,AMD, Radeon 520,windows,2.1,40908,2073600
HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,,128,Intel, HD Graphics 520,windows,1.9,23390,2073600
Asus,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,4,,256,Intel, HD Graphics 620,windows,2,31232,1049088
MSI,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,Nvidia, GeForce GTX 1070,windows,2.4,130483,2073600
Asus,Notebook,15.6,Full HD,0,0,1080,1920,Ietnl,Core i3,2,4,SSD,256,Intel, HD Graphics 520,linux,2,22111,2073600
Dell,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,,256,AMD, Radeon 530,windows,2.8,69211,2073600
,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,,256,Intel, UHD Graphics 620,,1.7,46833,2073600
Lenovo,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i3,2.7,,,256,Intel, HD Graphics 620,,1.7,31915,2073600
Asus,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,,256,Intel, UHD Graphics 620,windows,1.4,50136,2073600
HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,,256,Intel, HD Graphics 620,windows,1.9,36763,2073600
asus,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,,512,Nvidia, GeForce GTX 1050 Ti,windows,1.8,105654,2073600
,Notebook,15.6,,0,0,768,1366,Inetl,Core i3,2,4,HDD,500,AMD, Radeon 520,,1.9,23373,1049088
HP,Notebook,14,,0,0,768,1366,Intel,Celeron Dual,1.6,4,,32,Intel, HD Graphics 400,windows,1.4,12201,1049088
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Ietnl,Core i5,2.5,4,,1024,Intel, HD Graphics 620,windows,1.9,29251,2073600
asus,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i7,2.8,12,HDD,1024,Nvidia, GeForce GTX 1050 Ti,linux,3,50563,2073600
microsoft,Ultrabook,13.5,,0,1,1504,2256,Intel,Core i5,2.5,10,SSD,128,Intel, HD Graphics 620,windows,1.3,58022,3393024
dell,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i7,1.8,64,,256,AMD, Radeon 530,windows,1.4,50882,2073600
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,,256,AMD, Radeon 530,windows,2.2,46354,2073600
MSI,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,Hybrid,128,Nvidia, GeForce GTX 1050,windows,2.7,58342,2073600
acer,Notebook,14,,0,0,768,1366,Intel,Core i3,2,,,1024,Intel, HD Graphics 520,windows,2.1,20726,1049088
Asus,Gaming,15.6,Full HD,0,0,1080,1920,Itnel,Core i7,2.8,8,HDD,1024,Nvidia, GeForce GTX 1050,windows,2.2,50563,2073600
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,,-2048,Intel, HD Graphics 620,,2.2,27652,2073600
dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,Hybrid,128,Intel, UHD Graphics 620,windows,2,45554,2073600
Acer,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2.7,4,,1024,Nvidia, GeForce MX130,windows,2.2,28238,2073600
HP,Notebook,17.3,Full HD,0,0,,1920,Intel,Core i5,1.6,8,Hybrid,128,Nvidia, GeForce 930MX,windows,2.5,52055,2073600
Dell,Ultrabook,15.6,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,,256,Intel, UHD Graphics 620,windows,1.9,58403,2073600
Apple,Ultrabook,12,,1,0,1440,2304,Intel,Core i5,1.3,8,,512,Intel, HD Graphics 615,macos,0.9,80453,3317760
HP,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,,256,Intel, HD Graphics 620,windows,1.6,45821,2073600
,Notebook,15.6,Full HD,0,0,1080,1920,AMD,A6-Series 9220,2.5,4,SSD,128,AMD, R4 Graphics,,2.2,21259,2073600
Acer,Notebook,15.6,,0,0,768,1366,AMD,A9-Series 9420,3,4,,1024,AMD, Radeon R5,windows,2.1,21046,1049088
dell,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,128,Nvidia, GeForce GTX 1050 Ti,windows,2.7,71875,2073600
hp,Ultrabook,15.6,Full HD,1,0,1080,1920,Ientl,Core i7,1.8,8,,256,Nvidia, GeForce GTX 940MX,windows,1.8,37243,2073600
HP,Notebook,15.6,Full HD,0,0,1080,1920,Inetl,Core i5,2.5,8,,256,Intel, HD Graphics 620,windows,2,31914,2073600
asus,Gaming,15.6,Full HD,1,0,1080,1920,Itenl,Core i7,2.8,16,,-128,Nvidia, GeForce GTX 1060,windows,2.2,77203,2073600
Dell,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,,256,Intel, UHD Graphics 620,windows,,87859,2073600
Asus,Gaming,15.6,Full HD,0,0,1080,1920,AMD,FX 9830P,3,8,,1024,AMD, Radeon RX 560,windows,2.5,37243,2073600
acer,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,5,,1024,Nvidia, GeForce MX150,windows,2.2,36710,2073600
,Notebook,13.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,40,,512,Intel, UHD Graphics 620,,1.5,63776,2073600
Dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,,256,Nvidia, GeForce GTX 1060,windows,2.7,63670,2073600
asus,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i7,2.7,20,,256,Intel, HD Graphics 620,windows,1.3,55891,2073600
Acer,2 in 1 Convertible,13.3,Full HD,1,1,1080,1920,Intel,Core i5,1.6,,SSD,256,Intel, UHD Graphics 620,windows,1.5,45128,2073600
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.7,,,1024,AMD, Radeon R5 M430,linux,2.2,31963,2073600
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i3,2,4,,256,AMD, Radeon R5 M430,linux,2.2,25841,2073600
Asus,Notebook,15.6,Full HD,0,0,1080,1920,Ientl,Core i3,2.4,6,,256,Nvidia, GeForce 920M,windows,2,30743,2073600
HP,Gaming,15.6,Full HD,1,0,1080,1920,Ientl,Core i7,2.8,12,,128,Nvidia, GeForce GTX 1050,windows,2.6,66547,2073600
HP,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.7,8,,256,AMD, Radeon 530,windows,1.9,38308,2073600
HP,Notebook,15.6,Full HD,0,0,1080,1920,AMD,E-Series E2-9000e,1.5,4,,500,AMD, Radeon R2,windows,2.1,18595,2073600
,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,,,1024,AMD, Radeon 520,,2.2,34472,2073600
HP,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i7,2.7,8,,256,Nvidia, GeForce MX150,windows,1.4,59620,2073600
Microsoft,Ultrabook,13.5,,0,1,1504,2256,Intel,Core i5,2.5,8,,-256,Intel, HD Graphics 620,windows,1.3,71395,3393024
,Notebook,14,Full HD,1,0,1080,1920,Itenl,Core i5,2.5,6,SSD,256,Nvidia, GeForce 940MX,,,35112,2073600
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Itenl,Core i3,2,4,,1024,Intel, HD Graphics 520,windows,1.9,22106,2073600
Asus,Ultrabook,14,Full HD,1,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,Nvidia, GeForce 940MX,windows,1.3,63563,2073600
MSI,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,,256,Nvidia, GeForce GTX 1050 Ti,windows,,69211,2073600
lenovo,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i7,2.7,8,SSD,256,Intel, HD Graphics 620,windows,1.6,78854,2073600
Asus,Ultrabook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,,256,Nvidia, GeForce MX150,windows,1.5,67239,2073600
Dell,Ultrabook,13.3,Quad HD +,0,1,1800,3200,Intel,Core i7,2.4,8,,256,Intel, Iris Plus Graphics 640,windows,1.2,73473,5760000
lenovo,2 in 1 Convertible,13.3,Full HD,1,1,1080,1920,Intel,Core i5,2.5,8,,256,Intel, HD Graphics 620,windows,1.4,74539,2073600
,Notebook,14,,1,0,768,1366,Intel,Core i5,1.6,4,HDD,500,Intel, UHD Graphics 620,,1.6,38468,1049088
Dell,Ultrabook,13.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,Intel, UHD Graphics 620,windows,1.2,86793,2073600
hp,Notebook,14,Full HD,0,0,1080,1920,Ientl,Core i7,1.8,8,,512,Intel, UHD Graphics 620,windows,1.6,57756,2073600
dell,Notebook,15.6,Full HD,1,0,1080,1920,Intel,Core i7,1.8,20,Hybrid,256,Nvidia, GeForce 940MX,windows,2.2,60224,2073600
,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i3,2,4,,1024,Nvidia, GeForce 920MX,,2,30050,2073600
,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,,-256,Nvidia, GeForce 940MX,,1.7,59567,2073600
Acer,Notebook,15.6,Full HD,1,1,1080,1920,Intel,Core i3,2.4,6,HDD,1024,Intel, HD Graphics 620,windows,2.1,25521,2073600
MSI,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,,,-256,Nvidia, GeForce GTX 1070,windows,1.8,119427,2073600
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,SSD,256,Nvidia, GeForce 940MX,,2.2,33513,2073600
HP,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,SSD,512,Nvidia, GeForce 930MX ,windows,2.5,67719,2073600
Acer,Notebook,15.6,,0,0,768,1366,AMD,A9-Series 9420,3,4,,256,AMD, Radeon R5,windows,2.1,24029,1049088
HP,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,HDD,1024,Intel, UHD Graphics 620,windows,1.6,43263,2073600
asus,Notebook,14,,0,0,768,1366,AMD,E-Series 6110,1.5,4,,64,AMD, Radeon R2,windows,1.7,14811,1049088
Dell,Notebook,17.3,Full HD,0,0,,1920,Intel,Core i7,1.8,16,,256,AMD, Radeon 530,windows,2.8,74379,2073600
HP,Notebook,17.3,Full HD,0,0,,1920,Intel,Core i5,1.6,8,,256,Intel, UHD Graphics 620,windows,2.5,49444,2073600
,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,8,,1024,AMD, Radeon R7 M445,,2.4,34045,1049088
Dell,Notebook,15.6,Full HD,0,0,,1920,Intel,Core i3,2,4,,1024,AMD, Radeon R5 M430,windows,2.2,23923,2073600
,Ultrabook,14,Full HD,1,0,1080,1920,Intel,Core i7,1.8,8,,256,Intel, UHD Graphics 620,,1.6,47100,2073600
acer,Notebook,15.6,Full HD,0,0,,1920,Intel,Core i3,2.7,4,,-256,Nvidia, GeForce MX130,windows,,30476,2073600
HP,Notebook,15.6,,0,0,768,1366,Intel,Core i7,2.7,8,HDD,1024,Intel, HD Graphics 620,windows,2.1,31861,1049088
hp,Notebook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,,,256,Intel, UHD Graphics 620,windows,1.6,52641,2073600
lenovo,Notebook,15.6,,0,0,768,1366,Intel,Celeron Dual,1.1,4,,1024,Intel, HD Graphics 500,,1.9,13446,1049088
,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i5,2.5,8,,128,Nvidia, GeForce GTX 1050,,3,49977,2073600
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,4,,1024,Nvidia, GeForce 920MX,,2.2,26587,2073600
HP,Notebook,13.3,Full HD,1,0,1080,1920,Intel,Core i5,2.5,4,SSD,256,Intel, HD Graphics 620,windows,1.3,37243,2073600
Acer,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i3,2.7,4,,1024,Nvidia, GeForce MX130,windows,3,34898,2073600
Lenovo,Notebook,14,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,,256,AMD, Radeon RX 550,windows,1.8,59462,2073600
Lenovo,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,8,SSD,256,Nvidia, GeForce GTX 1050M,,2.4,46300,2073600
Toshiba,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.3,4,,500,Intel, HD Graphics 520,windows,2.1,32075,1049088
hp,Notebook,15.6,,0,0,768,1366,AMD,A6-Series 9220,2.5,4,,256,AMD, Radeon R4 Graphics,windows,1.9,19660,1049088
Asus,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,,256,Intel, UHD Graphics 620,windows,1.3,58555,2073600
hp,Ultrabook,12.5,4k Ultra HD,1,1,2160,3840,Intel,Core M,1.2,20,,512,Intel, HD Graphics 515,windows,1,107306,8294400
Asus,Notebook,15.6,Full HD,0,0,1080,1920,Itenl,Celeron Dual,1.1,4,,1024,Intel, HD Graphics 500,windows,2,18328,2073600
Acer,Notebook,15.6,,0,0,768,1366,Itenl,Core i3,2,,,1024,Intel, HD Graphics 520,windows,2.1,23816,1049088
Dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,,512,Nvidia, GeForce GTX 1050,windows,2.6,66561,2073600
Dell,Gaming,15.6,Full HD,0,0,1080,1920,Itenl,Core i7,2.8,8,,1024,Nvidia, GeForce GTX 1050,windows,2.6,47899,2073600
,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,4,,128,Intel, HD Graphics 620,,1.9,26533,1049088
msi,Gaming,17.3,Full HD,0,0,1080,1920,Intel,Core i7,2.8,16,,256,Nvidia, GeForce GTX 1060,windows,2.8,100699,2073600
HP,Ultrabook,14,Full HD,0,0,1080,1920,Intel,Core i5,2.7,4,,256,Intel, HD Graphics 620,windows,1.5,57649,2073600
hp,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,1.6,6,,256,AMD, Radeon 520,windows,1.9,32980,2073600
Lenovo,2 in 1 Convertible,14,Full HD,1,1,1080,1920,Intel,Core i3,2.4,4,SSD,256,Intel, HD Graphics 620,windows,1.7,33513,2073600
Asus,2 in 1 Convertible,13.3,Full HD,0,1,,1920,Intel,Core i5,1.6,8,,256,Intel, HD Graphics 620,windows,1.1,70063,2073600
Dell,2 in 1 Convertible,15.6,Full HD,0,1,1080,1920,Intel,Core i7,1.8,8,,256,Intel, UHD Graphics 620,windows,1.6,55891,2073600
toshiba,Notebook,15.6,,0,0,768,1366,Intel,Core i3,2.2,10,,500,Intel, HD Graphics 520,windows,2.1,23816,1049088
Asus,Notebook,15.6,,0,0,768,1366,AMD,A9-Series 9420,3,4,,1024,AMD, Radeon R5 M420,windows,2,21472,1049088
acer,Notebook,17.3,Full HD,1,0,1080,1920,Itenl,Core i5,1.6,4,,256,Nvidia, GeForce MX150,windows,3,42890,2073600
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Ientl,Core i5,1.6,8,,256,AMD, Radeon 520,windows,2.1,38788,2073600
,Gaming,15.6,Full HD,1,0,1080,1920,Itenl,Core i7,2.8,16,,256,Nvidia, GeForce GTX 1050 Ti,,2.5,57489,2073600
Acer,Notebook,15.6,,0,0,,1366,Intel,Celeron Dual,1.1,4,,1024,Intel, HD Graphics 500,windows,2.1,18541,1049088
msi,Gaming,15.6,Full HD,1,0,1080,1920,Intel,Core i7,2.8,16,Hybrid,256,Nvidia, GeForce GTX 1060,windows,,95851,2073600
Acer,Notebook,15.6,,0,0,768,1366,Itnel,Pentium Quad,1.1,4,,1024,Intel, HD Graphics 505,windows,2.1,19368,1049088
dell,Gaming,15.6,Full HD,0,0,1080,1920,Intel,Core i7,2.8,8,Hybrid,128,Nvidia, GeForce GTX 1050,windows,2.6,56503,2073600
,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,,256,Nvidia, GeForce MX150,,3,45501,2073600
HP,Notebook,13.3,Full HD,1,0,1080,1920,Intel,Core i5,1.6,4,,500,Intel, UHD Graphics 620,windows,1.5,40173,2073600
Huawei,Ultrabook,13,Full HD,1,0,1440,2160,Intel,Core i5,2.5,8,,256,Intel, HD Graphics 620,windows,1.1,71875,3110400
HP,Notebook,17.3,Full HD,1,0,1080,1920,Intel,Core i5,2.5,6,HDD,2048,AMD, Radeon 520,windows,2.7,37243,2073600
lenovo,Notebook,15.6,,0,0,768,1366,AMD,A6-Series 9220,2.9,,HDD,500,AMD, Radeon R4 Graphics,,2.2,16464,1049088
Toshiba,Notebook,15.6,,0,0,768,1366,Intel,Core i3,2.4,4,HDD,500,Intel, HD Graphics 620,windows,5.4,26054,1049088
hp,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,SSD,256,Nvidia, GeForce 930MX,windows,2.5,49177,2073600
Dell,Notebook,15.6,,0,0,768,1366,Intel,Core i3,2.4,8,HDD,1024,Intel, HD Graphics 620,windows,2.3,24456,1049088
Acer,Notebook,15.6,,0,0,768,1366,Intel,Core i3,2,4,,128,Intel, HD Graphics 520,windows,2.1,23923,1049088
MSI,Gaming,18.4,Full HD,0,0,1080,1920,Intel,Core i7,2.9,32,,512,Nvidia, GTX 980 SLI,windows,,149131,2073600
Lenovo,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i5,2.5,,,128,AMD, R17M-M1-70,windows,1.9,43317,2073600
HP,2 in 1 Convertible,13.3,4k Ultra HD,1,1,2160,3840,Intel,Core i5,1.6,8,,256,Intel, UHD Graphics 620,windows,1.3,79867,8294400
Dell,Notebook,15.6,Full HD,0,0,1080,1920,Intel,Core i7,1.8,16,,256,AMD, Radeon 530,linux,2,55891,2073600
Dell,Ultrabook,13.3,Full HD,0,0,1080,1920,Intel,Core i5,1.6,8,,256,Intel, UHD Graphics 620,windows,1.2,74539,2073600
Lenovo,2 in 1 Convertible,13.9,4k Ultra HD,1,1,2160,3840,Intel,Core i7,1.8,16,,512,Intel, UHD Graphics 620,windows,1.4,98515,8294400
Toshiba,Notebook,15.6,,0,0,768,1366,Intel,Core i5,2.5,8,,128,Intel, HD Graphics 620,windows,2,42251,1049088
Xiaomi,Notebook,15.6,Full HD,1,0,1080,1920,Intel,Core i5,1.6,8,,256,Nvidia, GeForce MX150,,2,63883,2073600
dell,Notebook,17.3,Full HD,0,1,1080,1920,Intel,Core i7,1.8,16,,512,Nvidia, GeForce 150MX,windows,2.8,82531,2073600
Dell,Notebook,15.6,4k Ultra HD,0,1,2160,3840,Ientl,Core i7,2.8,16,,512,Nvidia, GeForce GTX 1050,windows,2.1,127712,8294400
Lenovo,Gaming,15.6,Full HD,1,0,,1920,Ientl,Core i5,2.5,8,SSD,-256,Nvidia, GeForce GTX 1050,,2.4,41505,2073600
Acer,Ultrabook,13.3,Full HD,1,0,,1920,Intel,Core i5,1.2,8,,256,Intel, HD Graphics 615,windows,1.1,52694,2073600
Dell,Notebook,17.3,Full HD,0,0,1080,1920,Intel,Core i7,1.8,8,Hybrid,128,AMD, Radeon 530,windows,2.8,57809,2073600
Vero,Notebook,14,Full HD,1,0,1080,1920,Itnel,Celeron Dual,1.1,4,,32,Intel, HD Graphics 500,windows,1.3,13853,2073600
,Ultrabook,13.3,Full HD,1,0,1080,1920,Itenl,Core i5,2.5,8,,256,Nvidia, GeForce MX150,,1.3,53275,2073600
lenovo,Notebook,17.3,,0,0,900,1600,Intel,Core i5,1.6,8,,256,Nvidia, GeForce MX150,,2.8,37189,1440000
